,value,nifty_bm,drawdown,cash,n_open
2020-04-14,673652.4715819973,604258.6663536172,,148203.54374803943,9
2020-04-15,678749.4415700254,595249.8746390593,,149324.8771454056,9
2020-04-16,679645.3230122701,603819.1621400338,,149521.97106269942,5
2020-04-17,678312.1562476488,602872.0265382705,,149228.67437448274,7
2020-04-20,679234.6381248937,599293.2630297712,,149431.6203874766,4
2020-04-21,668153.3761691197,605465.4409970645,,146993.74275720635,6
2020-04-22,667293.3217624791,602236.2833237894,,146804.5307877454,4
2020-04-23,669705.8919788428,612936.2709431819,,147335.29623534542,7
2020-04-24,678507.233366803,617141.1950547467,,149271.59134069667,7
2020-04-27,675911.7417806891,614539.8471763829,,148700.5831917516,8
2020-04-28,671658.7728764463,627392.596579276,,147764.93003281817,8
2020-04-29,669183.7540432177,624045.9014157054,,147220.4258895079,4
2020-04-30,674778.7445380181,628707.4656602389,,148451.323798364,6
2020-05-01,677055.707428704,630759.1138531398,,148952.25563431488,4
2020-05-04,674399.6437980157,638824.3419115467,,148367.92163556346,7
2020-05-05,677733.0482709691,648569.1960801966,,149101.2706196132,7
2020-05-06,678685.3710781919,649038.785742243,,149310.78163720222,5
2020-05-07,684666.9526645816,644665.9065448579,,150626.72958620795,8
2020-05-08,680978.3428017802,647753.6856314824,,149815.23541639166,5
2020-05-11,679476.6982230985,643855.3122080703,,149484.87360908167,3
2020-05-12,677606.1537055569,656440.8671502917,,149073.3538152225,7
2020-05-13,669569.8280281037,657568.0323402545,,147305.3621661828,5
2020-05-14,671643.500753773,655562.0850639933,,147761.57016583005,4
2020-05-15,673523.4106378359,656987.5805003592,,148175.1503403239,8
2020-05-18,673943.3284944486,648855.5854890972,,148267.53226877868,8
2020-05-19,672990.3789403205,643138.9514746437,,148057.8833668705,6
2020-05-20,665284.2007778207,650743.382784127,,146362.52417112055,4
2020-05-21,663291.3517716533,646955.7337552172,,145924.09738976372,6
2020-05-22,661743.844368701,640793.0570651091,,145583.64576111423,5
2020-05-25,657614.9884211681,644329.082048883,,144675.297452657,9
2020-05-26,657094.8619524696,651857.5451241214,,144560.8696295433,3
2020-05-27,659732.7247792348,656583.5491244888,,145141.19945143166,4
2020-05-28,670692.5875539961,663072.2051992355,,147552.36926187915,4
2020-05-29,672076.8376374278,658583.5025369329,,147856.90428023413,4
2020-06-01,673937.9382463561,649964.48764395,,148266.34641419834,6
2020-06-02,673902.3608711893,659507.7015285812,,148258.51939166166,5
2020-06-03,663302.17639882,657763.0012942015,,145926.4788077404,4
2020-06-04,663537.4046151643,656471.8693163372,,145978.22901533614,9
2020-06-05,664261.9587859025,665030.8473670393,,146137.63093289855,4
2020-06-08,678555.2539821272,668824.306410519,,149282.155876068,8
2020-06-09,677839.3319112738,672001.8464373649,,149124.65302048024,3
2020-06-10,679969.8842408521,686105.5001593588,,149593.37453298745,8
2020-06-11,680163.6416304716,682199.2111949177,,149636.00115870376,8
2020-06-12,673801.55190795,688498.9669967936,,148236.341419749,3
2020-06-15,680737.660988853,689161.0446001027,,149762.28541754765,9
2020-06-16,685483.3764703039,691208.9739258275,,150806.34282346684,5
2020-06-17,690489.9904532736,701535.9470755134,,151907.7978997202,8
2020-06-18,685553.1297004104,705215.110036636,,150821.6885340903,5
2020-06-19,694125.1157722361,709117.6384047345,,152707.52546989196,8
2020-06-22,686256.698073707,716640.5395798109,,150976.47357621556,7
2020-06-23,690077.971155766,714456.8993567374,,151817.15365426854,3
2020-06-24,703326.6903594447,709060.9694545136,,154731.87187907784,8
2020-06-25,697812.919440356,702320.8575716129,,153518.8422768783,7
2020-06-26,694858.7070219157,689496.2064934425,,152868.91554482144,6
2020-06-29,695850.2958309194,703254.3915508268,,153087.06508280226,7
2020-06-30,693275.9676981878,696179.3151793791,,152520.7128936013,4
2020-07-01,684540.2473881069,695008.4046283398,,150598.85442538353,8
2020-07-02,685336.2207153428,693472.6262438945,,150773.96855737543,7
2020-07-03,679545.416417814,695789.076982436,,149499.99161191907,5
2020-07-06,682675.087065987,701473.3282954115,,150188.51915451715,6
2020-07-07,677735.860453658,707502.1395102973,,149101.88929980478,9
2020-07-08,687057.739337587,703880.2693236584,,151152.70265426915,8
2020-07-09,682882.0408173322,703058.3791061311,,150234.0489798131,4
2020-07-10,681408.7071846365,705241.0305439585,,149909.91558062003,9
2020-07-13,686515.7948153663,703871.0535086772,,151033.47485938057,7
2020-07-14,679731.4077230537,714914.637578635,,149540.9096990718,9
2020-07-15,681439.8510627002,718549.4509327192,,149916.76723379403,9
2020-07-16,689406.3690685816,723867.678983964,,151669.40119508796,6
2020-07-17,680386.4467319829,728730.1675003633,,149685.01828103623,9
2020-07-20,681848.8610581897,737160.119277578,,150006.74943280173,9
2020-07-21,683750.5400893721,738737.4243288301,,150425.11881966185,8
2020-07-22,688690.9757946956,729946.5202633558,,151512.01467483302,6
2020-07-23,681849.4638279375,733024.7306828103,,150006.88204214626,4
2020-07-24,674591.9391310214,728796.7243090207,,148410.2266088247,7
2020-07-27,677976.0318250493,725442.9049255244,,149154.72700151085,6
2020-07-28,680080.7200908156,729788.6403081333,,149617.75841997942,6
2020-07-29,681923.1874518153,738680.1582677349,,150023.10123939937,3
2020-07-30,684326.8369726482,739139.6764050724,,150551.9041339826,6
2020-07-31,680768.1936204537,741618.6870326207,,149769.0025964998,3
2020-08-03,682506.9820767163,753922.9137979074,,150151.53605687758,7
2020-08-04,684603.0402052079,755963.9001382708,,150612.66884514573,9
2020-08-05,680843.209171803,774965.8008585662,,149785.50601779667,8
2020-08-06,692035.6474320719,779454.6675314177,,152247.84243505582,8
2020-08-07,695224.256921264,766743.9083569056,,152949.3365226781,7
2020-08-10,688587.5907370897,772553.3317379048,,151489.26996215974,7
2020-08-11,692829.7762139679,775675.2233487645,,152422.55076707294,5
2020-08-12,687491.6653747326,785505.0848706552,,151248.16638244118,9
2020-08-13,692489.8804333005,790858.477063696,,152347.77369532612,7
2020-08-14,699711.2081327596,790150.3962820421,,153936.4657892071,6
2020-08-17,695235.9953935065,781292.1519510518,,152951.91898657143,8
2020-08-18,701332.3092491396,780068.8664651895,,154293.10803481072,4
2020-08-19,704199.8030944742,774093.58238621,,154923.95668078432,8
2020-08-20,709528.8431040685,770149.5966600861,,156096.3454828951,3
2020-08-21,721379.9191430871,774779.3469879733,,158703.58221147917,8
2020-08-24,720293.665992303,787395.925767138,,158464.60651830668,5
2020-08-25,716096.6895459424,790678.8782246499,,157541.27170010732,9
2020-08-26,711097.7097498345,782028.1483127149,,156441.4961449636,7
2020-08-27,706579.1194070404,785659.6722479556,,155447.4062695489,9
2020-08-28,706525.8684037845,794921.027775496,,155435.69104883258,7
2020-08-31,708984.4313172112,790649.9667034575,,155976.57488978648,8
2020-09-01,711063.0827739916,789975.4133399805,,156433.87821027817,4
2020-09-02,716475.0248661684,790417.4344842564,,157624.50547055705,4
2020-09-03,716969.7623924464,784855.6353526437,,157733.34772633822,5
2020-09-04,726243.7947010288,790018.9369615082,,159773.63483422634,3
2020-09-07,725031.270347609,789443.0073010216,,159506.87947647396,8
2020-09-08,742215.5539889201,792920.9444287819,,163287.42187756242,7
2020-09-09,746593.2693258742,786568.7154353801,,164250.5192516923,8
2020-09-10,741586.7348919194,783630.2096691147,,163149.08167622227,5
2020-09-11,735266.4979941689,789337.0929786842,,161758.62955871716,6
2020-09-14,738708.29188965,786872.8497115724,,162515.824215723,6
2020-09-15,737733.6152931298,800112.8954946559,,162301.39536448856,5
2020-09-16,742638.8091995348,797411.2792874065,,163380.53802389765,7
2020-09-17,746056.8190297151,799448.2703033898,,164132.50018653733,9
2020-09-18,746027.6886760158,806866.8407876136,,164126.09150872348,5
2020-09-21,741090.6664731024,796333.6182196201,,163039.94662408254,7
2020-09-22,731978.066375204,783347.2614430147,,161035.1746025449,4
2020-09-23,729624.4808683178,772322.6396815643,,160517.3857910299,5
2020-09-24,735358.8840358799,781910.6769222298,,161778.95448789358,7
2020-09-25,737123.5959511034,778139.7935305489,,162167.19110924273,5
2020-09-28,729745.8883272257,797377.6605514508,,160544.09543198964,5
2020-09-29,731243.3545253566,793438.3340820849,,160873.53799557843,9
2020-09-30,734062.4422441148,795162.663928732,,161493.73729370526,9
2020-10-01,728973.3428008024,807145.8006981534,,160374.13541617655,7
2020-10-02,730348.6701266317,822867.2917140834,,160676.707427859,7
2020-10-05,731133.629966213,839328.1626937775,,160849.39859256687,3
2020-10-06,724454.5432778235,849315.7306998657,,159379.99952112118,5
2020-10-07,727077.932682144,857935.0912244829,,159957.1451900717,6
2020-10-08,730965.3773430511,863124.745753848,,160812.38301547125,5
2020-10-09,738118.5574274306,869869.5738537892,,162386.08263403474,5
2020-10-12,745158.2284196661,865680.0520751264,,163934.81025232654,7
2020-10-13,736864.4760347625,859314.8024029142,,162110.18472764775,5
2020-10-14,731417.9327993433,859648.1672684918,,160911.94521585552,8
2020-10-15,735044.1564592812,858619.3799596616,,161709.71442104186,5
2020-10-16,738680.5526375831,855283.0714256545,,162509.7215802683,8
2020-10-19,742342.8608893326,861300.5700678021,,163315.42939565316,9
2020-10-20,767083.8253432423,869478.9630541705,,168758.4415755133,6
2020-10-21,771251.061414696,870574.3895329422,,169675.23351123312,7
2020-10-22,779142.739775327,883159.8793356929,,171411.40275057196,5
2020-10-23,785912.7227203448,873952.0132923821,,172900.79899847586,8
2020-10-26,790720.0138104171,872711.206931824,,173958.40303829178,8
2020-10-27,789059.668955881,867134.7463493304,,173593.12717029382,9
2020-10-28,794607.7355797716,852122.8247608219,,174813.70182754975,8
2020-10-29,789848.8184697652,851811.4024012737,,173766.74006334835,4
2020-10-30,788716.9981623131,851183.9569896614,,173517.7395957089,3
2020-11-02,785920.5309373272,863779.5835925963,,172902.516806212,6
2020-11-03,786923.3106655914,869318.7524327008,,173123.1283464301,9
2020-11-04,802862.1258357286,861225.5905910757,,176629.6676838603,9
2020-11-05,790584.9556015155,876756.829010915,,173928.6902323334,5
2020-11-06,795655.1442239401,887295.2883736403,,175044.1317292668,4
2020-11-09,785209.715935379,892574.6316165349,,172746.13750578338,5
2020-11-10,782515.3309372639,891029.050331384,,172153.37280619805,5
2020-11-11,790212.2143916696,883281.8443290134,,173846.6871661673,7
2020-11-12,791102.2937539765,880529.5695710535,,174042.50462587483,7
2020-11-13,784313.9789741932,890006.8078483257,,172549.0753743225,7
2020-11-16,780000.1881457283,906314.9098090876,,171600.04139206023,4
2020-11-17,784958.3224171288,919982.8759530324,,172690.83093176835,5
2020-11-18,780540.4856332826,916096.804339785,,171718.90683932215,3
2020-11-19,782429.3140023202,906737.6244467755,,172134.44908051044,6
2020-11-20,783186.2053236286,908332.0494270372,,172300.9651711983,7
2020-11-23,779302.6958918702,893453.4124323097,,171446.59309621144,7
2020-11-24,793956.3334290351,896571.6481872816,,174670.39335438772,9
2020-11-25,798694.9122949535,895691.0134858125,,175712.88070488977,5
2020-11-26,785409.6511586846,892101.668998019,,172790.1232549106,5
2020-11-27,787109.9544120774,878961.2976542809,,173164.18997065703,4
2020-11-30,783138.8391156642,883619.0902526816,,172290.54460544614,4
2020-12-01,789267.4356863558,879518.5162730583,,173638.83585099826,7
2020-12-02,784408.3689059701,870112.7606145784,,172569.84115931342,5
2020-12-03,784098.3238482419,846735.883939766,,172501.63124661322,3
2020-12-04,787918.7581476866,846870.1833652497,,173342.12679249106,6
2020-12-07,794173.981465741,861484.1056713533,,174718.275922463,5
2020-12-08,786532.0268744818,875441.8388786995,,173037.045912386,9
2020-12-09,784751.9000024159,872007.9931706291,,172645.4180005315,5
2020-12-10,782038.9851041056,867385.4660906782,,172048.57672290324,8
2020-12-11,778149.6718106292,871612.5437641074,,171192.92779833844,4
2020-12-14,790278.1935404865,863711.6709455627,,173861.20257890705,9
2020-12-15,793456.964719859,866550.7111150334,,174560.53223836896,6
2020-12-16,785413.2839395959,873221.2128087535,,172790.9224667111,7
2020-12-17,791996.4818556164,883766.1148371914,,174239.22600823562,9
2020-12-18,806742.1318719407,883296.425204393,,177483.26901182695,5
2020-12-21,814289.9747241626,881958.3188963056,,179143.79443931577,7
2020-12-22,804245.9971945293,874972.4729509995,,176934.11938279643,5
2020-12-23,801402.191697035,868466.7346816548,,176308.4821733477,7
2020-12-24,810497.1006271895,866962.9415648427,,178309.3621379817,6
2020-12-25,806091.8945198188,870352.7426642786,,177340.21679436014,4
2020-12-28,809600.3813897427,878272.1292246289,,178112.0839057434,6
2020-12-29,815400.6738242466,871939.6114908603,,179388.14824133425,8
2020-12-30,809449.1385006043,884670.4018911929,,178078.81047013294,3
2020-12-31,809509.0656413777,882763.3407215703,,178091.9944411031,4
2021-01-01,787675.9808838472,882954.9098153319,,173288.71579444638,6
2021-01-04,781274.305861117,877058.0857800925,,171880.34728944572,8
2021-01-05,780050.1823976368,857227.5547157329,,171611.0401274801,3
2021-01-06,772229.2767646102,864786.9569858263,,169890.44088821425,8
2021-01-07,783392.2340503824,871203.6909273916,,172346.29149108412,5
2021-01-08,774323.5275288796,869241.207219432,,170351.17605635352,5
2021-01-11,771876.3723815711,870159.483899638,,169812.80192394563,7
2021-01-12,773181.8429589611,874789.9702151852,,170100.00545097145,4
2021-01-13,783102.4022995825,862171.837288422,,172282.52850590815,5
2021-01-14,773998.9713432591,858200.6734310081,,170279.773695517,9
2021-01-15,782100.3349018476,865036.6833017212,,172062.07367840648,8
2021-01-18,782621.9809799199,855092.4382647797,,172176.83581558237,4
2021-01-19,776546.6246478156,857836.2591847401,,170840.25742251944,9
2021-01-20,780047.2032821173,847141.1623383136,,171610.3847220658,5
2021-01-21,781819.4763099763,851250.7159824434,,172000.28478819478,7
2021-01-22,778284.2110273681,851320.0128285742,,171222.52642602098,6
2021-01-25,779197.3856852425,838615.1238707153,,171423.42485075333,7
2021-01-26,777097.3197165187,848246.6385838854,,170961.41033763412,9
2021-01-27,778297.8553722111,842683.3112324562,,171225.52818188645,3
2021-01-28,783129.614641952,836550.7692608781,,172288.51522122943,5
2021-01-29,794141.3120918146,838496.0905881868,,174711.08866019922,9
2021-02-01,786246.4104457173,847997.9742527294,,172974.2102980578,3
2021-02-02,800957.6969543432,840170.6923773093,,176210.6933299555,3
2021-02-03,788132.164559232,841015.8692885566,,173389.07620303103,8
2021-02-04,787572.4541329414,844795.1900306704,,173265.93990924713,4
2021-02-05,791967.656778356,850712.5607008755,,174232.8844912383,8
2021-02-08,794318.5580233304,852495.8199257572,,174750.08276513268,5
2021-02-09,790574.9776173253,849881.4160332844,,173926.49507581154,3
2021-02-10,789634.9530352915,843556.5075161261,,173719.68966776415,9
2021-02-11,786783.9697640238,844601.1399639845,,173092.47334808524,6
2021-02-12,783298.8311500725,836353.3390414017,,172325.74285301595,3
2021-02-15,789409.829273223,813493.4357456804,,173670.16244010904,9
2021-02-16,792263.2550117016,817208.919071124,,174297.91610257435,6
2021-02-17,788056.5498029629,824569.8311538843,,173372.44095665184,8
2021-02-18,794539.5749811641,806406.3238886425,,174798.7064958561,8
2021-02-19,797075.7817956816,799009.6089005008,,175356.67199504995,4
2021-02-22,803045.3437744812,804044.9398736199,,176669.97563038586,9
2021-02-23,807808.8844072799,820098.6675500954,,177717.95456960157,3
2021-02-24,809047.693588401,826345.8021369183,,177990.4925894482,7
2021-02-25,812137.0107816014,826762.2573317081,,178670.1423719523,8
2021-02-26,824263.8370885561,831460.3204733045,,181338.04415948235,8
2021-03-01,835612.422975539,848489.7303379396,,183834.73305461858,4
2021-03-02,842633.5196962694,849578.6314015904,,185379.37433317926,6
2021-03-03,850703.6591758744,849432.2285598386,,187154.80501869236,4
2021-03-04,867241.4672890094,851839.4655899885,,190793.12280358205,3
2021-03-05,870321.5995446375,850445.326568854,,191470.75189982026,9
2021-03-08,881836.2395457664,857746.7126629866,,194003.9727000686,5
2021-03-09,887886.8376106373,877350.038036369,,195335.1042743402,5
2021-03-10,893862.0583386407,886552.7846378915,,196649.65283450097,9
2021-03-11,909879.7117770493,891005.6216496844,,200173.53659095085,6
2021-03-12,924070.2312166594,895146.8312922125,,203295.4508676651,8
2021-03-15,938388.5441187052,888495.6104388564,,206445.47970611515,6
2021-03-16,956852.8118636424,902542.3198933561,,210507.61861000134,8
2021-03-17,965233.4384613055,908571.7959454884,,212351.35646148722,8
2021-03-18,979110.2137597952,913755.5985587842,,215404.24702715495,5
2021-03-19,984928.8039157026,948254.0043108177,,216684.3368614546,6
2021-03-22,996093.3796648216,957981.338618548,,219140.54352626074,4
2021-03-23,1003537.9664659931,958247.6430840471,,220778.3526225185,8
2021-03-24,1004947.4011209891,954768.8235582304,,221088.4282466176,7
2021-03-25,1010614.133414399,965586.5779716825,,222335.10935116778,7
2021-03-26,1004171.5938245937,967031.1620213484,,220917.75064141062,4
2021-03-29,1022613.4982059605,954224.1486749187,,224974.96960531131,7
2021-03-30,1014462.094928033,962957.8520689198,,223181.66088416724,3
2021-03-31,1004580.6221910766,957250.0457286985,,221007.73688203687,8
2021-04-01,1015052.3127578166,974687.6273764079,,223311.50880671965,4
2021-04-02,1022471.4650108811,985097.7363028328,,224943.72230239384,6
2021-04-05,1028488.7284418982,981325.2473773647,,226267.5202572176,8
2021-04-06,1034578.3452320802,993679.7941129677,,227607.23595105764,4
2021-04-07,1035070.7035814304,994737.692798933,,227715.55478791468,5
2021-04-08,1027776.9100240321,1003214.2007515808,,226110.92020528705,6
2021-04-09,1029035.2571158279,1008255.3137517576,,226387.75656548212,5
2021-04-12,1023709.0997196788,1000572.0168336581,,225216.00193832934,8
2021-04-13,1032787.882025052,994875.0365210072,,227213.33404551144,6
2021-04-14,1032095.9268032158,1005027.3659434057,,227061.10389670747,7
2021-04-15,1025452.6079383867,1002253.1229201081,,225599.5737464451,4
2021-04-16,1023246.0598804321,998830.7688696958,,225114.13317369507,8
2021-04-19,1027431.0517056629,990187.222499806,,226034.83137524582,3
2021-04-20,1023103.8627792947,994587.8037642841,,225082.84981144484,6
2021-04-21,1016546.9196862474,1014493.4708734372,,223640.32233097442,6
2021-04-22,1019242.1325154422,1004631.0090023963,,224233.2691533973,9
2021-04-23,1021955.5750801216,1005284.1043895264,,224830.22651762675,8
2021-04-26,1018144.6853769536,1019193.3110377571,,223991.83078292978,8
2021-04-27,1014658.7355409409,1018850.2574826188,,223224.921819007,5
2021-04-28,1017248.5753237386,1023656.7162410872,,223794.6865712225,9
2021-04-29,1005317.5547640638,1013755.1524933117,,221169.86204809404,7
2021-04-30,993873.5806051873,1018305.8156604741,,218652.1877331412,5
2021-05-03,988380.6640714877,1016923.088215546,,217443.7460957273,9
2021-05-04,987160.7050374477,1026873.1060304544,,217175.3551082385,5
2021-05-05,990342.0419654557,1038887.6933618487,,217875.24923240027,7
2021-05-06,1003335.8523022177,1064881.5512823297,,220733.8875064879,9
2021-05-07,1011232.2126133131,1071192.5879241987,,222471.08677492887,9
2021-05-10,1010443.979851564,1074957.8995063372,,222297.6755673441,3
2021-05-11,1010866.7114511214,1077394.4537590756,,222390.6765192467,5
2021-05-12,1002838.9138670639,1074232.21508093,,220624.56105075407,5
2021-05-13,1003262.7520449844,1078137.6899761083,,220717.80544989655,6
2021-05-14,1001383.0405270517,1075564.91556344,,220304.26891595137,7
2021-05-17,1004710.744282637,1077737.9646272897,,221036.36374218014,4
2021-05-18,998228.8900699053,1091680.8509915615,,219610.35581537918,3
2021-05-19,1003214.4897291632,1081700.5361288527,,220707.18774041592,9
2021-05-20,1016866.5141684214,1093868.41923563,,223710.6331170527,9
2021-05-21,1016516.2430457842,1108014.9744500024,,223633.57347007253,9
2021-05-24,1020576.7676363023,1107237.5346280565,,224526.8888799865,3
2021-05-25,1027155.6340177766,1085383.2992140413,,225974.23948391085,9
2021-05-26,1024248.3994059699,1079571.8217796811,,225334.64786931337,9
2021-05-27,1026793.4375870378,1093327.1302167866,,225894.5562691483,7
2021-05-28,1027498.8810339711,1093548.8060186724,,226049.75382747364,8
2021-05-31,1028947.9080816538,1083626.6317689102,,226368.53977796383,8
2021-06-01,1022783.9100681308,1078885.3732511797,,225012.4602149888,6
2021-06-02,1023590.2079368229,1087954.3652929938,,225189.84574610103,6
2021-06-03,1028516.7327405751,1094062.1072620975,,226273.68120292653,9
2021-06-04,1041799.7390444918,1092038.2510660011,,229195.9425897882,7
2021-06-07,1050898.6117115903,1088691.3373847478,,231197.69457654987,9
2021-06-08,1070741.7327769487,1085096.8025659174,,235563.1812109287,6
2021-06-09,1064378.8989793635,1076043.9519753861,,234163.35777545997,3
2021-06-10,1072888.316011164,1093008.9352230218,,236035.4295224561,3
2021-06-11,1075182.5879486718,1090121.1570237093,,236540.1693487078,4
2021-06-14,1095818.916720776,1103184.085332193,,241080.1616785707,8
2021-06-15,1088925.6290051902,1119591.1933918244,,239563.63838114185,7
2021-06-16,1081784.8514709314,1130679.5725464677,,237992.66732360492,5
2021-06-17,1076900.768671427,1126518.2273954162,,236918.1691077139,8
2021-06-18,1058083.9591435152,1131312.0534551882,,232778.47101157336,5
2021-06-21,1053969.157723342,1131527.1630967075,,231873.21469913525,4
2021-06-22,1047779.5893336885,1122288.054079015,,230511.50965341146,4
2021-06-23,1049726.7275840773,1126217.6482592335,,230939.880068497,9
2021-06-24,1053384.9473337976,1114076.0331738638,,231744.68841343548,6
2021-06-25,1070794.7166288323,1127114.0139547032,,235574.8376583431,4
2021-06-28,1080066.3025726227,1122612.4735049116,,237614.586565977,4
2021-06-29,1075396.4403424633,1125229.3019628474,,236587.21687534192,5
2021-06-30,1067807.8787919465,1128730.1545022388,,234917.73333422822,6
2021-07-01,1072892.0462816851,1126427.999582911,,236036.25018197074,4
2021-07-02,1061474.3481586084,1133179.3484317889,,233524.35659489385,8
2021-07-05,1078614.3985276897,1128542.8491044263,,237295.16767609175,4
2021-07-06,1090053.3641983313,1138358.1522786994,,239811.7401236329,6
2021-07-07,1086338.4699167644,1124280.296755458,,238994.46338168817,9
2021-07-08,1071149.6727130157,1126102.3121564598,,235652.92799686347,7
2021-07-09,1084097.6391022904,1147317.8832025598,,238501.4806025039,6
2021-07-12,1083670.950538487,1136896.625543952,,238407.60911846714,5
2021-07-13,1095701.2571146002,1130054.125411974,,241054.27656521203,7
2021-07-14,1081487.1245277126,1136045.8131577394,,237927.16739609677,8
2021-07-15,1076604.5479141907,1138461.0771484384,,236853.00054112196,3
2021-07-16,1077276.964375179,1142731.4286455875,,237000.9321625394,6
2021-07-19,1078331.9794617177,1148521.966172651,,237233.03548157788,9
2021-07-20,1074832.1920884512,1155929.7651143668,,236463.08225945928,5
2021-07-21,1081145.9976039438,1168601.2388534837,,237852.11947286763,8
2021-07-22,1071961.9070719627,1173641.7399806257,,235831.6195558318,7
2021-07-23,1071286.3292115883,1171444.7440026912,,235682.9924265494,8
